"Anders Lee",5200,NYI,W,WPG,2.07,2.07,2.07
"Nikolaj Ehlers",4500,WPG,W,NYI,2.18,2.18,2.18
"Jordan Eberle",3800,NYI,W,WPG,2.28,2.28,2.28
"Luca Sbisa",2500,NYI,D,WPG,1.52,1.52,1.52
"Nathan Beaulieu",2500,WPG,D,NYI,1.41,1.41,1.41
"Brandon Tanev",2700,WPG,W,NYI,1.12,1.12,1.12
"Cal Clutterbuck",2500,NYI,W,WPG,1.07,1.07,1.07
"Scott Mayfield",3500,NYI,D,WPG,1.14,1.14,1.14
"Tom Kuhnhackl",2800,NYI,C,WPG,1,1,1
"Dennis Seidenberg",2500,NYI,D,WPG,0.98,0.98,0.98
"Sami Niku",2500,WPG,D,NYI,1.12,1.12,1.12
"Michael Dal Colle",2500,NYI,W,WPG,1.22,1.22,1.22
"Matt Martin",2500,NYI,W,WPG,0.83,0.83,0.83
"Tanner Fritz",2500,NYI,C,WPG,1.1,1.1,1.1
"Ross Johnston",2500,NYI,W,WPG,1.17,1.17,1.17
"Johnny Boychuk",4100,NYI,D,WPG,1.4,1.4,1.4
"Ben Chiarot",3200,WPG,D,NYI,1.42,1.42,1.42
"Casey Cizikas",3400,NYI,C,WPG,1.4,1.4,1.4
"Adam Pelech",3100,NYI,D,WPG,1.38,1.38,1.38
"Matt Hendricks",2500,WPG,W,NYI,1.24,1.24,1.24
"Leo Komarov",2500,NYI,W,WPG,1.18,1.18,1.18
"Thomas Hickey",2500,NYI,D,WPG,1.26,1.26,1.26
"Sam Gagner",3600,EDM,W,DAL,1.27,1.27,1.27
"Joe Gambardella",0,EDM,C,DAL,1.19,1.19,1.19
"Joonas Donskoi",3300,SJS,W,CHI,1.91,1.91,1.91
"Kevin Labanc",4100,SJS,W,CHI,2.19,2.19,2.19
"Joe Thornton",4100,SJS,C,CHI,2.27,2.27,2.27
"Brandon Saad",4700,CHI,W,SJS,1.84,1.84,1.84
"Dominik Kahun",3000,CHI,W,SJS,1.65,1.65,1.65
"Marc-Edouard Vlasic",4700,SJS,D,CHI,1.65,1.65,1.65
"Erik Gustafsson",5900,CHI,D,SJS,1.67,1.67,1.67
"Duncan Keith",4600,CHI,D,SJS,1.73,1.73,1.73
"Gustav Nyquist",5500,SJS,W,CHI,2.32,2.32,2.32
"Dylan Strome",5400,CHI,C,SJS,2.55,2.55,2.55
"Logan Couture",6500,SJS,C,CHI,3.62,3.62,3.62
"Patrick Kane",7900,CHI,W,SJS,3.98,3.98,3.98
"Brent Burns",6600,SJS,D,CHI,4.46,4.46,4.46
"Evander Kane",6100,SJS,W,CHI,3.32,3.32,3.32
"Jonathan Toews",7000,CHI,C,SJS,3.03,3.03,3.03
"Alex DeBrincat",6300,CHI,W,SJS,2.92,2.92,2.92
"Tomas Hertl",6800,SJS,C,CHI,2.94,2.94,2.94
"Timo Meier",6600,SJS,W,CHI,2.97,2.97,2.97
"Justin Braun",3400,SJS,D,CHI,1.69,1.69,1.69
"John Hayden",2500,CHI,W,SJS,1.52,1.52,1.52
"Joakim Ryan",2500,SJS,D,CHI,1.04,1.04,1.04
"David Kampf",2600,CHI,C,SJS,1.19,1.19,1.19
"Slater Koekkoek",3000,CHI,D,SJS,1.24,1.24,1.24
"Chris Kunitz",2500,CHI,W,SJS,0.99,0.99,0.99
"Gustav Forsling",2700,CHI,D,SJS,1.02,1.02,1.02
"Micheal Haley",2500,SJS,W,CHI,1.2,1.2,1.2
"Carl Dahlstrom",2500,CHI,D,SJS,1.14,1.14,1.14
"Dylan Sikura",3100,CHI,W,SJS,1.55,1.55,1.55
"Artem Anisimov",4000,CHI,C,SJS,1.2,1.2,1.2
"Brenden Dillon",2500,SJS,D,CHI,1.33,1.33,1.33
"Connor Murphy",3800,CHI,D,SJS,1.42,1.42,1.42
"Barclay Goodrow",2500,SJS,C,CHI,1.36,1.36,1.36
"Marcus Kruger",2500,CHI,W,SJS,1.58,1.58,1.58
"Melker Karlsson",2500,SJS,W,CHI,1.31,1.31,1.31
"Brent Seabrook",5300,CHI,D,SJS,1.39,1.39,1.39
"Brendan Perlini",4300,CHI,W,SJS,1.29,1.29,1.29
