C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,1. Locate the player you want to select in the list below ,,,,,,,,
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
,,,,,,,,,,3. Paste the ID into the roster position desired ,,,,,,,,
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
,,,,,,,,,,5. You can create up to 500 lineups per file ,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,RW,Alexander Radulov (12321770),Alexander Radulov,12321770,W/UTIL,6800,DAL@EDM 03/28/2019 09:00PM ET,DAL,4.48
,,,,,,,,,,C,Tomas Hertl (12321540),Tomas Hertl,12321540,C/UTIL,6800,CHI@SJ 03/28/2019 10:30PM ET,SJ,3.96
,,,,,,,,,,G,Cam Ward (12322596),Cam Ward,12322596,G,6800,CHI@SJ 03/28/2019 10:30PM ET,CHI,3.84
,,,,,,,,,,G,Curtis McElhinney (12322597),Curtis McElhinney,12322597,G,6700,WAS@CAR 03/28/2019 07:00PM ET,CAR,4.92
,,,,,,,,,,RW,Brock Boeser (12321772),Brock Boeser,12321772,W/UTIL,6700,LA@VAN 03/28/2019 10:00PM ET,VAN,3.72
,,,,,,,,,,C,Elias Pettersson (12321542),Elias Pettersson,12321542,C/UTIL,6600,LA@VAN 03/28/2019 10:00PM ET,VAN,3.76
,,,,,,,,,,LW,Timo Meier (12321774),Timo Meier,12321774,W/UTIL,6600,CHI@SJ 03/28/2019 10:30PM ET,SJ,3.97
,,,,,,,,,,D,Brent Burns (12322208),Brent Burns,12322208,D/UTIL,6600,CHI@SJ 03/28/2019 10:30PM ET,SJ,4.73
,,,,,,,,,,G,Scott Wedgewood (12322604),Scott Wedgewood,12322604,G,6500,DET@BUF 03/28/2019 07:00PM ET,BUF,0
,,,,,,,,,,G,Harri Sateri (12322606),Harri Sateri,12322606,G,6500,DET@BUF 03/28/2019 07:00PM ET,DET,0
,,,,,,,,,,G,Ukko-Pekka Luukkonen (12322621),Ukko-Pekka Luukkonen,12322621,G,6500,DET@BUF 03/28/2019 07:00PM ET,BUF,0
,,,,,,,,,,D,John Carlson (12322210),John Carlson,12322210,D/UTIL,6500,WAS@CAR 03/28/2019 07:00PM ET,WAS,4.1
,,,,,,,,,,G,Ilya Samsonov (12322603),Ilya Samsonov,12322603,G,6500,WAS@CAR 03/28/2019 07:00PM ET,WAS,0
,,,,,,,,,,G,Scott Darling (12322613),Scott Darling,12322613,G,6500,WAS@CAR 03/28/2019 07:00PM ET,CAR,2.52
,,,,,,,,,,G,Alex Nedeljkovic (12322614),Alex Nedeljkovic,12322614,G,6500,WAS@CAR 03/28/2019 07:00PM ET,CAR,5.8
,,,,,,,,,,G,Vitek Vanecek (12322618),Vitek Vanecek,12322618,G,6500,WAS@CAR 03/28/2019 07:00PM ET,WAS,0
,,,,,,,,,,G,Callum Booth (12322619),Callum Booth,12322619,G,6500,WAS@CAR 03/28/2019 07:00PM ET,CAR,0
,,,,,,,,,,G,Charlie Lindgren (12322598),Charlie Lindgren,12322598,G,6500,MON@CLS 03/28/2019 07:00PM ET,MON,0
,,,,,,,,,,G,Keith Kinkaid (12322599),Keith Kinkaid,12322599,G,6500,MON@CLS 03/28/2019 07:00PM ET,CLS,3.26
,,,,,,,,,,G,J-F Berube (12322605),J-F Berube,12322605,G,6500,MON@CLS 03/28/2019 07:00PM ET,CLS,0
,,,,,,,,,,G,Elvis Merzlikins (12322625),Elvis Merzlikins,12322625,G,6500,MON@CLS 03/28/2019 07:00PM ET,CLS,0
,,,,,,,,,,LW,Mike Hoffman (12321776),Mike Hoffman,12321776,W/UTIL,6500,FLA@OTT 03/28/2019 07:30PM ET,FLA,3.95
,,,,,,,,,,G,Mike Condon (12322612),Mike Condon,12322612,G,6500,FLA@OTT 03/28/2019 07:30PM ET,OTT,-0.8
,,,,,,,,,,G,Marcus Hogberg (12322615),Marcus Hogberg,12322615,G,6500,FLA@OTT 03/28/2019 07:30PM ET,OTT,1.85
,,,,,,,,,,G,Filip Gustavsson (12322624),Filip Gustavsson,12322624,G,6500,FLA@OTT 03/28/2019 07:30PM ET,OTT,0
,,,,,,,,,,G,Christopher Gibson (12322607),Christopher Gibson,12322607,G,6500,NYI@WPG 03/28/2019 08:00PM ET,NYI,1.1
,,,,,,,,,,G,Linus Soderstrom (12322609),Linus Soderstrom,12322609,G,6500,NYI@WPG 03/28/2019 08:00PM ET,NYI,0
,,,,,,,,,,G,Mikhail Berdin (12322620),Mikhail Berdin,12322620,G,6500,NYI@WPG 03/28/2019 08:00PM ET,WPG,0
,,,,,,,,,,G,Al Montoya (12322608),Al Montoya,12322608,G,6500,DAL@EDM 03/28/2019 09:00PM ET,EDM,0
,,,,,,,,,,G,Landon Bow (12322622),Landon Bow,12322622,G,6500,DAL@EDM 03/28/2019 09:00PM ET,DAL,1.3
,,,,,,,,,,G,Colton Point (12322623),Colton Point,12322623,G,6500,DAL@EDM 03/28/2019 09:00PM ET,DAL,0
,,,,,,,,,,G,Cal Petersen (12322600),Cal Petersen,12322600,G,6500,LA@VAN 03/28/2019 10:00PM ET,LA,5.06
,,,,,,,,,,G,Marek Mazanec (12322610),Marek Mazanec,12322610,G,6500,LA@VAN 03/28/2019 10:00PM ET,VAN,0
,,,,,,,,,,G,Peter Budaj (12322611),Peter Budaj,12322611,G,6500,LA@VAN 03/28/2019 10:00PM ET,LA,-0.2
