Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Evgeny Kuznetsov,,,C,6400,WAS,@CAR,1,L2,P1,2.82,20.1,19.0,18.8,3.8,2.6,2.7,4.5,3.5,3.7,1.0,6.4,3.4,0.5,0.0,0.0
Alex DeBrincat,,,LW,6300,CHI,@SJ,1,L2,P1,2.76,19.8,17.5,17.6,2.4,2.8,2.7,1.2,4.4,3.9,1.1,6.7,3.3,0.5,0.0,0.0
Joe Pavelski,,,RW,6300,SJ,CHI,2,,,3.74,18.5,19.2,19.1,1.2,2.2,2.5,2.0,3.8,3.9,0.7,7.1,0.0,0.0,0.0,0.0
Nicklas Backstrom,,,C,6300,WAS,@CAR,1,L1,P1,2.82,19.6,19.6,20.0,1.2,2.3,2.1,2.3,2.9,3.4,0.9,5.9,3.2,0.5,0.0,0.0
Blake Wheeler,,,RW,6200,WPG,NYI,2,L1,P1,3.02,18.2,20.1,20.8,2.6,2.9,2.8,1.9,4.2,4.4,1.5,7.3,3.9,0.6,0.0,0.0
Erik Karlsson,,,D,6200,SJ,CHI,2,,,3.74,20.3,24.2,24.5,2.6,3.3,3.2,2.7,4.3,4.1,1.4,6.7,0.0,0.0,0.0,0.0
Ryan Nugent-Hopkins,,,C,6200,EDM,DAL,1,L2,P1,2.73,18.9,20.0,20.2,2.4,2.4,2.6,5.1,3.5,3.6,1.1,6.1,3.3,0.5,0.0,0.0
Evgenii Dadonov,,,RW,6200,FLA,@OTT,1,L1,P1,3.46,18.4,17.9,18.4,1.8,1.9,2.4,2.9,2.8,3.4,1.1,5.8,3.4,0.5,0.0,0.0
Alexander Edler,,,D,6100,VAN,LA,1,,,2.92,25.9,24.9,24.3,2.6,2.3,2.3,5.6,4.0,4.0,1.5,6.4,0.0,0.0,0.0,0.0
Matt Duchene,,,C,6100,CLS,MON,1,L2,P1,2.95,18.5,18.9,19.0,1.8,2.6,2.4,2.6,3.6,3.9,1.2,6.6,3.0,0.5,0.0,0.0
Evander Kane,,,LW,6100,SJ,CHI,2,L2,P2,3.74,18.6,18.4,18.3,3.0,3.5,3.6,2.3,4.3,3.9,0.9,6.9,3.8,0.6,0.0,0.0
Thomas Chabot,,,D,6000,OTT,FLA,1,D1,P1,3.04,24.8,24.4,24.1,2.8,2.6,2.7,3.7,3.5,3.9,1.5,6.4,2.9,0.5,0.0,0.0
Max Domi,,,C,6000,MON,@CLS,1,L2,P2,2.55,15.9,16.9,17.3,2.2,2.4,2.4,4.3,3.4,3.6,1.0,6.1,2.6,0.4,0.0,0.0
Kyle Connor,,,LW,6000,WPG,NYI,2,L2,P1,3.02,19.3,19.4,19.1,3.6,2.6,2.8,7.3,3.8,3.6,0.6,6.7,3.2,0.5,0.0,0.0
Dylan Larkin,,,C,5900,DET,@BUF,2,L1,P1,2.73,20.8,21.9,21.8,2.0,3.8,3.7,2.2,4.3,4.3,1.6,7.0,3.5,0.6,0.0,0.0
Jeff Skinner,,,LW,5900,BUF,DET,1,L2,P1,3.27,18.7,19.1,18.6,4.0,3.6,3.3,2.0,3.3,3.9,1.2,6.5,3.6,0.6,0.0,0.0
Erik Gustafsson,,,D,5900,CHI,@SJ,1,D2,P1,2.76,24.7,23.0,22.4,4.4,2.1,2.0,5.1,3.8,3.4,1.4,5.3,1.7,0.3,0.0,0.0
Mark Scheifele,,,C,5800,WPG,NYI,2,L1,P1,3.02,19.1,21.2,21.9,1.8,2.2,2.4,1.9,3.3,4.1,1.0,7.3,3.6,0.6,0.0,0.0
Seth Jones,,,D,5800,CLS,MON,1,D1,P2,2.95,26.2,25.7,25.9,1.8,2.3,2.4,3.1,3.3,3.5,1.6,5.4,3.9,0.7,0.0,0.0
Jamie Benn,,,LW,5800,DAL,@EDM,0,L1,P1,2.77,19.1,17.7,18.2,2.4,2.4,2.4,3.7,3.3,3.5,0.8,6.1,3.8,0.7,0.0,0.0
Mats Zuccarello,,,RW,5700,DAL,@EDM,0,,,2.77,20.2,19.9,19.9,3.6,2.3,2.2,4.7,3.6,3.4,0.7,6.2,0.0,0.0,0.0,0.0
John Klingberg,,,D,5700,DAL,@EDM,0,D1,P1,2.77,25.2,24.4,24.6,2.0,2.4,2.5,3.1,3.3,3.4,1.5,5.3,3.5,0.6,0.0,0.0
Mathew Barzal,,,C,5700,NYI,@WPG,1,L1,P1,2.48,16.9,17.4,17.9,0.6,1.9,2.1,1.3,2.7,3.2,0.6,5.7,3.5,0.6,0.0,0.0
Dustin Byfuglien,,,D,5600,WPG,NYI,35,,,3.02,24.0,24.4,24.4,2.8,2.8,2.8,2.6,3.7,3.7,1.3,6.1,0.0,0.0,0.0,0.0
Brady Tkachuk,,,LW,5600,OTT,FLA,1,L1,P1,3.04,17.6,15.8,15.7,4.0,3.1,2.9,3.9,3.0,3.1,0.7,5.5,1.8,0.3,0.0,0.0
Artemi Panarin,,,LW,5500,CLS,MON,1,L1,P1,2.95,20.1,20.1,20.0,1.6,2.1,2.4,2.2,3.7,3.8,1.0,6.7,3.8,0.7,0.0,0.0
Andreas Athanasiou,,,C,5500,DET,@BUF,2,L2,P1,2.73,18.4,16.8,16.7,4.0,2.8,2.9,5.9,3.5,3.4,0.7,6.2,2.8,0.5,0.0,0.0
Keith Yandle,,,D,5500,FLA,@OTT,1,D1,P1,3.46,22.6,22.8,22.7,1.2,2.5,2.5,2.1,3.1,3.4,1.4,5.3,2.9,0.5,0.0,0.0
Jacob Trouba,,,D,5500,WPG,NYI,2,D1,P1,3.02,23.4,23.7,22.9,1.8,2.0,1.9,4.8,3.7,3.3,1.2,5.4,3.5,0.6,0.0,0.0
Gustav Nyquist,,,RW,5500,SJ,CHI,2,L1,P1,3.74,16.0,17.8,17.7,2.2,2.5,2.6,1.9,2.9,3.2,0.8,5.6,2.8,0.5,0.0,0.0
T.J. Oshie,,,RW,5400,WAS,@CAR,1,L2,P1,2.82,18.1,18.2,18.6,2.2,2.3,2.2,3.6,3.5,3.3,0.6,6.1,2.6,0.5,0.0,0.0
